Publisher,average
Drool  ,9.15
Invisible Handlebar   ,8.6
Microprose  ,7.75
DotEmu  ,7.45
Valve Corporation  ,7.300000000000001
Feardemic  ,6.95
FDG Entertainment  ,6.9
Mediatonic  ,6.3
Villa Gorilla  ,5.5
Strategy First  ,5.2
Nicalis  ,5.15
Team Cherry  ,5
KID  ,5
Humble Hearts  ,5
Sony Interactive Entertainment  ,4.95
Blizzard Entertainment  ,4.9
iam8bit  ,4.85
RedOctane  ,4.85
Impact Gameworks  ,4.85
EuroVideo Medien  ,4.75
Bifrost Entertainment  ,4.75
Bimboosoft  ,4.7
Bandai Namco Entertainment  ,4.7
Rockstar Games  ,4.65
Working Designs  ,4.6
Stardock  ,4.6
Matt Makes Games Inc.  ,4.6
Gun Media  ,4.6
2D Boy  ,4.6
Valve Software  ,4.55
Q Entertainment  ,4.55
Number None  ,4.55
KnapNok Games  ,4.55
Chucklefish  ,4.55
Yacht Club Games  ,4.5
Soedesco  ,4.5
Playdead  ,4.5
Perp Games  ,4.5
Out of crumpét's:  ,4.5
Oddworld Inhabitants  ,4.5
Mad Monkey Studio  ,4.5
MERJ Media  ,4.5
Henchman & Goon  ,4.5
Galaxy Trail  ,4.5
Frictional Games  ,4.5
Bigben Interactive  ,4.5
Badland Games  ,4.5
8-4  ,4.5
Supergiant Games  ,4.45
Square  ,4.45
Sold Out  ,4.45
Pocketwatch Games  ,4.45
Microsoft Game Studios  ,4.45
Merge Games  ,4.45
Broderbund  ,4.45
Zombie Cow Studios  ,4.4
Re-Logic  ,4.4
Nayantara Studios  ,4.4
Capybara Games  ,4.4
Square EA  ,4.3500000000000005
id Software  ,4.35
Ustwo Games  ,4.35
The Astronauts  ,4.35
Sony Music Entertainment  ,4.35
Sam Barlow  ,4.35
Mythic Entertainment  ,4.35
ESP  ,4.35
Valve  ,4.3
Treasure  ,4.3
Matrix Games   ,4.3
MTV Games  ,4.3
Bossa Studios  ,4.3
Bizarre Creations  ,4.3
W!Games  ,4.25
Tetris Online  ,4.25
Sony Computer Entertainment  ,4.25
Sidhe Interactive  ,4.25
SCS Software  ,4.25
QCF Design  ,4.25
Pelfast  ,4.25
Nintendo  ,4.25
Nexon America  ,4.25
Microsoft Studios  ,4.25
LoopyMood  ,4.25
Jupiter Corporation  ,4.25
Finji  ,4.25
DANGEN Entertainment  ,4.25
Breakfall  ,4.25
Annapurna Interactive  ,4.25
Ysbryd Games  ,4.2
Westwood Studios  ,4.2
WayForward Technologies  ,4.2
Over The Top Games  ,4.2
Horberg Productions  ,4.2
Frontier Developments  ,4.2
Crate Entertainment  ,4.2
Broken Rules  ,4.2
3909 LLC  ,4.2
2K Play  ,4.2
YuPlay  ,4.15
Xbox Game Studios  ,4.15
Trendy Entertainment  ,4.15
Ronimo Games  ,4.15
RedLynx  ,4.15
PopCap Games  ,4.15
Llamasoft   ,4.15
Hidden Path Entertainment  ,4.15
Funcom   ,4.15
Edmund McMillen  ,4.15
Daedalic Entertainment  ,4.15
Carpe Fulgur  ,4.15
Capcom  ,4.1499999999999995
WayForward  ,4.1
Team 17  ,4.1
Sony Computer Entertainment America  ,4.1
Nobilis  ,4.1
Mojang  ,4.1
Lionhead Studios  ,4.1
LDW  ,4.1
GarageGames  ,4.1
Enix  ,4.1
Campo Santo  ,4.1
2K Games  ,4.1
Square Enix  ,4.05
Rare  ,4.05
NCSoft  ,4.05
Halfbrick Studios  ,4.05
Gathering of Developers  ,4.05
EA Sports BIG   ,4.05
1C Company  ,4.05
Zallag  ,4
Wadjet Eye Games  ,4
Uber Entertainment  ,4
Twisted Tree  ,4
Twisted Pixel Games  ,4
Trinket Studios  ,4
Tomorrow Corporation  ,4
SpearHead Games  ,4
Silver Dollar Games  ,4
Sidebar Games  ,4
Sabarasa Entertainment  ,4
Red Storm Entertainment  ,4
Puppy Games  ,4
Mixedbag Srl  ,4
Messhof  ,4
Maxistentialism  ,4
