,Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Score,Release Date,Last Update
0,1,Mario Kart 8 Deluxe,Nintendo,Nintendo EPD,9.3,9.3,9.3,45.33m,9.3,2017-04-28,2018-11-19
1,2,Animal Crossing: New Horizons,Nintendo,Nintendo,8.0,8.0,8.0,38.64m,8.0,2020-03-20,2020-04-11
2,3,Super Smash Bros. Ultimate,Nintendo,Bandai Namco Games,9.0,9.4,9.7,28.17m,9.4,2018-12-07,2018-10-18
3,4,The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo EPD,10.0,9.9,10.0,26.55m,10.0,2017-03-03,2018-11-19
4,5,Pokémon Sword / Shield,Nintendo,Game Freak,7.0,7.0,7.0,24.27m,7.0,2019-11-15,2019-11-21
5,6,Super Mario Odyssey,Nintendo,Nintendo EPD,9.9,9.9,9.9,23.50m,9.9,2017-10-27,2018-11-19
6,7,Super Mario Party,Nintendo,"Nd Cube Co., Ltd.",7.0,7.3,7.2,17.78m,7.2,2018-10-05,2018-11-19
7,8,Pokémon Brilliant Diamond / Shining Pearl,Nintendo,Game Freak,2.5,2.5,2.5,14.65m,2.5,2021-11-19,2021-02-26
10,11,New Super Mario Bros. U Deluxe,Nintendo,Nintendo EPD,6.6,6.6,6.6,13.31m,6.6,2019-01-11,2020-08-02
11,12,Splatoon 2,Nintendo,Nintendo EPD,8.2,8.2,8.2,13.30m,8.2,2017-07-21,2018-11-19
12,13,Pokémon Legends: Arceus,Nintendo,Game Freak,8.0,8.0,8.0,12.64m,8.0,2022-01-28,2021-02-26
13,14,Luigi's Mansion 3,Nintendo,"Next Level Games, Inc.",6.0,6.0,6.0,11.43m,6.0,2019-10-31,2020-08-03
15,16,Super Mario 3D All-Stars,Nintendo,Nintendo,7.0,7.0,7.0,9.01m,7.0,2020-09-18,2020-09-04
16,17,Monster Hunter Rise,Capcom,Capcom,7.0,7.0,7.0,7.70m,7.0,2021-03-26,2020-09-17
18,19,Mario Party Superstars,Unknown,Nintendo,8.0,8.0,8.0,6.88m,8.0,,2021-06-15
19,20,The Legend of Zelda: Link's Awakening,Nintendo,Nintendo,8.0,9.0,10.0,5.49m,9.0,2019-09-20,2019-06-11
20,21,Clubhouse Games: 51 Worldwide Classics,Nintendo,Nintendo,8.0,8.0,8.0,4.22m,8.0,2020-06-05,2020-04-07
21,22,Hyrule Warriors: Age of Calamity,Nintendo,Koei Tecmo Games,5.0,9.0,7.0,4.00m,7.0,2020-11-20,2020-09-12
22,23,The Legend of Zelda: Skyward Sword HD,Nintendo,Nintendo,9.0,9.0,9.0,3.91m,9.0,2021-07-16,2021-02-18
23,24,Mario Tennis Aces,Nintendo,Camelot Software Planning,7.0,7.8,7.4,3.66m,7.4,2018-06-22,2018-06-14
25,26,1-2-Switch,Nintendo,Nintendo EPD,5.7,5.7,5.7,3.45m,5.7,2017-03-03,2018-11-19
26,27,Donkey Kong Country: Tropical Freeze,Nintendo,Retro Studios,7.0,9.1,9.1,3.42m,8.4,2018-05-04,2020-08-02
27,28,Kirby Star Allies,Nintendo,HAL Laboratory,7.0,8.1,10.0,3.42m,8.4,2018-03-16,2018-03-14
28,29,Fire Emblem: Three Houses,Nintendo,Intelligent Systems,8.0,9.0,10.0,3.40m,9.0,2019-07-26,2019-06-11
29,30,Paper Mario: The Origami King,Nintendo,Intelligent Systems,8.0,8.5,9.0,3.12m,8.5,2020-07-17,2020-08-01
30,31,Metroid Dread,Nintendo,Nintendo,9.0,9.0,9.0,2.90m,9.0,2021-10-08,2021-06-15
31,32,Kirby and the Forgotten Land,Nintendo,HAL Laboratory,8.0,8.0,8.0,2.65m,8.0,2022-03-25,2022-01-15
32,33,ARMS,Nintendo,Nintendo EPD,7.9,7.9,7.9,2.56m,7.9,2017-06-16,2018-11-19
33,34,Yoshi's Crafted World,Nintendo,Good-Feel,8.0,7.8,7.9,2.56m,7.9,2019-03-29,2019-03-22
35,36,Mario Golf: Super Rush,Nintendo,Camelot Software Planning,5.0,5.0,5.0,2.35m,5.0,2021-06-25,2021-02-17
36,37,Xenoblade Chronicles 2,Nintendo,Monolith Soft,8.7,8.2,9.2,2.17m,8.7,2017-12-01,2018-01-01
38,39,Mario + Rabbids: Kingdom Battle,Ubisoft,Ubisoft Milan,8.3,8.3,8.3,2.00m,8.3,2017-08-29,2018-01-24
39,40,Octopath Traveler,Nintendo,Square Enix,9.0,8.1,8.7,1.90m,8.6,2018-07-13,2018-10-02
40,41,Minecraft,Mojang,4J Studios,9.2,9.2,9.2,,9.2,2018-06-21,2019-01-26
41,42,Captain Toad: Treasure Tracker,Nintendo,Nintendo EPD,8.1,8.1,8.1,1.77m,8.1,2018-07-13,2018-11-18
43,44,Pokémon Mystery Dungeon: Rescue Team DX,Nintendo,Spike Chunsoft,7.0,7.0,7.0,1.60m,7.0,2020-03-06,2020-08-05
45,46,Xenoblade Chronicles: Definitive Edition,Nintendo,Monolith Soft,7.5,7.5,7.5,1.52m,7.5,2020-05-29,2020-05-11
46,47,Nintendo Labo: Toy-Con 01 Variety Kit,Nintendo,Nintendo EPD,7.7,7.7,7.7,1.42m,7.7,2018-04-20,2018-11-19
48,49,Dragon Ball FighterZ,Bandai Namco Entertainment,Arc System Works,9.0,9.0,9.0,1.38m,9.0,2018-09-28,2018-06-12
49,50,Taiko no Tatsujin: Drum 'n' Fun!,Bandai Namco Games,Bandai Namco Games,7.5,7.5,7.5,1.34m,7.5,2018-11-02,2018-08-25
51,52,Dragon Ball: Xenoverse 2,Namco Bandai Games,Dimps Corporation,8.0,8.0,8.0,1.27m,8.0,2017-09-22,2018-01-01
55,56,Pokken Tournament DX,Nintendo,Namco Bandai Games,8.0,8.0,8.0,1.16m,8.0,2017-09-22,2018-01-01
